"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.750955950E-1,8.521323204E-1,-2.290252447E-1,-6.146421432E-1
5.775981350E-1,8.249782324E-1,-1.881740689E-1,-7.892389297E-1
5.801008250E-1,7.948603630E-1,-2.322142720E-1,-9.034318924E-1
5.826033230E-1,7.051602602E-1,-2.476513386E-1,-9.876003265E-1
5.851058590E-1,7.207082510E-1,-2.413162589E-1,-1.084621429E0
5.876085520E-1,7.160525322E-1,-2.428702116E-1,-1.122707367E0
5.901110920E-1,7.310633659E-1,-2.184731364E-1,-1.142023087E0
5.926135540E-1,7.759609222E-1,-1.893485188E-1,-1.167119980E0
5.951162440E-1,7.543303967E-1,-1.358799338E-1,-1.129179955E0
5.976187850E-1,8.495961428E-1,-1.483632922E-1,-1.016052246E0
6.001214750E-1,8.999654055E-1,-1.255632639E-1,-9.571018219E-1
6.026240000E-1,9.119610786E-1,-8.190441132E-2,-8.488559723E-1
6.051264620E-1,9.413254261E-1,-5.412971973E-2,-7.723255157E-1
6.076291520E-1,9.188139439E-1,-2.989178896E-2,-7.178831100E-1
6.101316930E-1,9.312486649E-1,1.965224743E-2,-6.442708969E-1
6.126344030E-1,9.935804605E-1,1.112920046E-2,-5.795717239E-1
6.151368670E-1,1.042511106E0,2.154982090E-2,-4.809923172E-1
6.176394030E-1,1.120732069E0,-3.174620867E-2,-3.990793228E-1
6.201420950E-1,1.125666618E0,-6.939232349E-2,-2.837505341E-1
6.226446360E-1,1.168353558E0,-1.296044588E-1,-1.867389679E-1
6.251473110E-1,1.168893337E0,-2.523472309E-1,-1.111536026E-1
6.276497750E-1,1.065211296E0,-4.057340026E-1,-4.989814758E-2
6.301523110E-1,9.813253880E-1,-5.189162493E-1,3.428459167E-2
6.326550030E-1,8.757228851E-1,-6.257975698E-1,5.234432220E-2
6.351575390E-1,8.960013390E-1,-6.877806783E-1,7.212924957E-2
6.376600000E-1,9.621789455E-1,-7.386772037E-1,1.202869415E-1
6.401626910E-1,9.904718399E-1,-7.944068909E-1,1.106824875E-1
6.426652310E-1,9.932432175E-1,-8.481313586E-1,4.136943817E-2
6.451678740E-1,9.586069584E-1,-9.029798508E-1,1.441001892E-3
6.476704140E-1,9.314441681E-1,-9.589263201E-1,-3.016376495E-2
6.501728760E-1,9.257578850E-1,-9.871685505E-1,-1.054506302E-1
6.526755660E-1,8.325235844E-1,-9.961118698E-1,-1.923666000E-1
6.551780970E-1,8.009221554E-1,-1.026651978E0,-2.362251282E-1
6.576807880E-1,7.692000866E-1,-1.014197946E0,-2.358894348E-1
6.601833280E-1,7.805387974E-1,-1.002197981E0,-2.604169846E-1
6.626860180E-1,6.923189163E-1,-9.913390279E-1,-3.228073120E-1
6.651884960E-1,6.105735302E-1,-9.965056777E-1,-3.750934601E-1
6.676910320E-1,5.108623505E-1,-1.039075375E0,-3.910274506E-1
6.701937250E-1,4.761676788E-1,-1.107143521E0,-3.378734589E-1
6.726962650E-1,4.241905212E-1,-1.113583446E0,-2.879781723E-1
6.751987080E-1,3.954591751E-1,-1.175891161E0,-2.369909286E-1
6.777013980E-1,4.397175312E-1,-1.186632395E0,-6.957244873E-2
6.802039390E-1,3.832702637E-1,-1.167388558E0,1.449909210E-1
6.827066290E-1,3.365321159E-1,-1.226607323E0,3.035106659E-1
6.852090870E-1,2.537505627E-1,-1.398311615E0,5.354013443E-1
6.877116240E-1,1.872444153E-1,-1.527922511E0,7.095518112E-1
6.902143160E-1,1.653473377E-1,-1.725314617E0,1.132841110E0
6.927168570E-1,1.915345192E-1,-1.911484361E0,1.559353828E0
6.952195420E-1,1.614928246E-1,-2.097342491E0,1.840069771E0
6.977220060E-1,1.717677116E-1,-2.227552414E0,2.169414520E0
7.002245420E-1,1.729142666E-1,-2.346004486E0,2.511165619E0
7.027272340E-1,1.769733429E-1,-2.464370012E0,2.684409142E0
7.052297750E-1,1.671752930E-1,-2.553633213E0,2.674103737E0
7.077322360E-1,1.325581074E-1,-2.574343681E0,2.427628517E0
7.102349270E-1,1.620433331E-1,-2.603466511E0,2.207049370E0
7.127374670E-1,2.228786945E-1,-2.530869961E0,1.928974152E0
7.152401570E-1,2.691347599E-1,-2.401201963E0,1.312052727E0
7.177426210E-1,3.669061661E-1,-2.214888096E0,6.379852295E-1
7.202451570E-1,5.017373562E-1,-2.018882036E0,1.824846268E-1
7.227478500E-1,6.655156612E-1,-1.757702589E0,-2.321443558E-1
7.252503950E-1,6.878499985E-1,-1.520949244E0,-5.636806488E-1
7.277528570E-1,6.248888969E-1,-1.254232049E0,-8.577365875E-1
