"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.326044370E-1,-1.587900066E1,-3.352950096E0,2.167050123E0
8.351068990E-1,-1.630005074E1,-3.244950056E0,2.293950081E0
8.376094370E-1,-1.674600029E1,-3.099000216E0,2.490000010E0
8.401118230E-1,-1.715805054E1,-3.073050261E0,2.602950096E0
8.426143600E-1,-1.750995064E1,-3.123000145E0,2.749050140E0
8.451167470E-1,-1.787400055E1,-3.111000061E0,2.836950064E0
8.476192830E-1,-1.816095161E1,-3.106050253E0,2.844000101E0
8.501216700E-1,-1.834305000E1,-3.109050035E0,2.916000128E0
8.526241290E-1,-1.838205147E1,-3.172950268E0,2.944950104E0
8.551265910E-1,-1.829804993E1,-3.271050215E0,2.907000065E0
8.576290670E-1,-1.820700073E1,-3.348000050E0,2.856000185E0
8.601315290E-1,-1.806105042E1,-3.384000063E0,2.763000250E0
8.626339850E-1,-1.787895012E1,-3.361950159E0,2.629050016E0
8.651364470E-1,-1.762500000E1,-3.379050255E0,2.509050131E0
8.676388990E-1,-1.728195000E1,-3.322050095E0,2.380050182E0
8.701413610E-1,-1.682999992E1,-3.348000050E0,2.286000013E0
8.726438230E-1,-1.631204987E1,-3.406050205E0,2.140050173E0
8.751462850E-1,-1.584495068E1,-3.432000160E0,2.124000072E0
8.776487370E-1,-1.534695053E1,-3.396000147E0,2.148000002E0
8.801511980E-1,-1.482000065E1,-3.384000063E0,2.203050137E0
8.826536590E-1,-1.431195068E1,-3.361950159E0,2.293950081E0
8.851561200E-1,-1.379700089E1,-3.384000063E0,2.409000158E0
8.876585810E-1,-1.324695110E1,-3.394050121E0,2.607000113E0
8.901610420E-1,-1.278705025E1,-3.391050100E0,2.752950191E0
8.926635040E-1,-1.240395069E1,-3.433950186E0,3.003000259E0
8.951659660E-1,-1.205205059E1,-3.508950233E0,3.295050144E0
8.976684280E-1,-1.164405060E1,-3.619050264E0,3.525000095E0
9.001708710E-1,-1.141905022E1,-3.682950258E0,3.787950277E0
9.026733330E-1,-1.119900036E1,-3.712050200E0,4.083000183E0
9.051757950E-1,-1.097400093E1,-3.718950272E0,4.485000134E0
9.076782750E-1,-1.062195015E1,-3.733950138E0,5.500950336E0
9.101807360E-1,-1.016400051E1,-3.837000132E0,6.067950249E0
9.126831970E-1,-9.786000252E0,-3.885000229E0,6.508950233E0
9.151856490E-1,-9.714000702E0,-3.906000137E0,6.514050484E0
9.176881100E-1,-9.769050598E0,-3.922950268E0,6.528000355E0
9.201905960E-1,-9.973050117E0,-3.882000208E0,6.363000393E0
9.226930580E-1,-9.991950035E0,-3.789000273E0,6.552000523E0
9.251955150E-1,-1.009995079E1,-3.832050085E0,6.748050213E0
9.276979770E-1,-1.029405022E1,-3.861000299E0,6.868050098E0
9.302004390E-1,-1.051905060E1,-3.838950157E0,6.961950302E0
9.327029010E-1,-1.070295048E1,-3.786000252E0,7.063950539E0
9.352053620E-1,-1.098105049E1,-3.712050200E0,7.078950405E0
9.377078230E-1,-1.126605034E1,-3.658950090E0,7.111950397E0
9.402102840E-1,-1.144305038E1,-3.601950169E0,7.210950375E0
9.427127450E-1,-1.161300087E1,-3.525000095E0,7.306050301E0
9.452152060E-1,-1.185795021E1,-3.496950150E0,7.381050587E0
9.477176680E-1,-1.211895084E1,-3.492000103E0,7.381050587E0
