"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.318393971E0,1.393125057E1,3.401250076E1,-1.310625076E1
6.338394430E0,1.280625057E1,3.453750229E1,-1.402500057E1
6.358390731E0,1.185000038E1,3.487500000E1,-1.432500076E1
6.378394188E0,1.110000038E1,3.549375153E1,-1.503750038E1
6.398393389E0,1.128750038E1,3.521250153E1,-1.494375038E1
6.418388431E0,1.216875076E1,3.421875000E1,-1.653750038E1
6.438391774E0,1.265625095E1,3.395625305E1,-1.693125153E1
6.458390504E0,1.483125019E1,3.363750076E1,-1.863750076E1
6.478386359E0,1.717500114E1,3.230625153E1,-1.951875114E1
6.498389879E0,1.901250076E1,3.114375114E1,-2.028750038E1
6.518387804E0,2.105625153E1,3.009375191E1,-2.118750000E1
6.538394513E0,2.486250114E1,2.780625153E1,-1.953750038E1
6.558396071E0,2.812500191E1,2.769375038E1,-1.760625076E1
6.578395459E0,2.932500076E1,2.690625191E1,-1.588125038E1
6.598389041E0,3.020625114E1,2.508750153E1,-1.756875038E1
6.618391388E0,3.067500114E1,2.407500076E1,-1.835625076E1
6.638387404E0,3.121875191E1,2.325000000E1,-2.105625153E1
6.658391732E0,3.168750191E1,2.242500114E1,-2.094375038E1
6.678395312E0,3.172500038E1,2.178750038E1,-2.334375000E1
6.698390172E0,3.155625153E1,2.186250114E1,-2.435625076E1
6.718392352E0,3.069375038E1,2.137500000E1,-2.566875076E1
6.738392138E0,3.022500038E1,2.145000076E1,-2.626875114E1
6.758388099E0,3.009375191E1,2.328750038E1,-2.720625114E1
6.778391662E0,2.921250153E1,2.353125000E1,-2.679375076E1
6.798390677E0,2.932500076E1,2.465625191E1,-2.630625153E1
6.818396112E0,2.836875153E1,2.563125038E1,-2.593125153E1
6.838397276E0,2.820000076E1,2.692500114E1,-2.565000153E1
6.858393808E0,2.780625153E1,2.857500076E1,-2.345625114E1
6.878398099E0,2.874375153E1,2.833125114E1,-2.285625076E1
6.898397577E0,3.056250191E1,2.653125191E1,-2.291250038E1
6.918391947E0,3.037500191E1,2.643750191E1,-2.321250153E1
6.938396013E0,3.118125153E1,2.692500114E1,-2.373750114E1
6.958394761E0,3.200625229E1,2.611875153E1,-2.291250038E1
6.978389551E0,3.305625153E1,2.596875191E1,-2.169375038E1
6.998393218E0,3.335625076E1,2.615625191E1,-2.180625153E1
7.018390871E0,3.286875153E1,2.503125191E1,-2.319375038E1
7.038397550E0,3.185625076E1,2.490000153E1,-2.581875038E1
7.058398466E0,3.020625114E1,2.604375076E1,-2.915625191E1
7.078394589E0,2.782500076E1,2.615625191E1,-3.097500038E1
7.098399310E0,2.523750114E1,2.581875038E1,-3.399375153E1
7.118397861E0,2.401875114E1,2.724375153E1,-3.361875153E1
7.138393666E0,2.448750114E1,2.810625076E1,-3.271875000E1
7.158397292E0,2.632500076E1,2.906250191E1,-3.041250038E1
7.178396391E0,2.716875076E1,2.956875038E1,-2.881875038E1
7.198391436E0,2.773125076E1,3.050625038E1,-2.671875191E1
7.218393769E0,2.761875153E1,3.095625114E1,-2.561250114E1
7.238392527E0,2.696250153E1,3.260625076E1,-2.482500076E1
7.258387315E0,2.578125191E1,3.313125229E1,-2.433750153E1
7.278391093E0,2.495625114E1,3.440625000E1,-2.456250191E1
7.298390196E0,2.418750191E1,3.577500153E1,-2.336250114E1
7.318395572E0,2.381250000E1,3.678750229E1,-1.955625153E1
7.338396736E0,2.321250153E1,3.787500000E1,-1.766250038E1
7.358393480E0,2.390625000E1,3.946875000E1,-1.627500153E1
7.378398377E0,2.392500114E1,3.993750000E1,-1.629375076E1
7.398397852E0,2.236875153E1,3.877500153E1,-1.798125076E1
7.418392279E0,2.171250153E1,3.847500229E1,-1.959375000E1
7.438396184E0,2.004375076E1,3.916875076E1,-2.231250000E1
7.458394772E0,2.064375114E1,3.918750000E1,-2.302500153E1
7.478389899E0,2.145000076E1,3.855000305E1,-2.441250038E1
7.498392950E0,2.375625038E1,3.500625229E1,-2.698125076E1
7.518390596E0,2.499375153E1,3.290625000E1,-2.816250038E1
7.538397108E0,2.666250038E1,3.073125076E1,-3.084375191E1
7.558397844E0,2.827500153E1,2.810625076E1,-3.180000114E1
7.578394406E0,3.168750191E1,2.523750114E1,-3.075000191E1
7.598399182E0,3.472500229E1,2.385000038E1,-2.891250038E1
7.618397565E0,3.783750153E1,2.255625153E1,-2.525625038E1
7.638393529E0,3.877500153E1,2.193750000E1,-2.475000191E1
7.658397637E0,3.860625076E1,2.118750000E1,-2.685000038E1
7.678396356E0,3.834375000E1,1.998750114E1,-2.913750076E1
7.698391379E0,3.755625153E1,1.830000114E1,-3.043125153E1
7.718393873E0,3.598125076E1,1.631250000E1,-3.262500000E1
7.738393099E0,3.553125000E1,1.732500076E1,-3.303750229E1
7.758388229E0,3.410625076E1,1.691250038E1,-3.513750076E1
7.778391656E0,3.335625076E1,1.715625000E1,-3.616875076E1
7.798390412E0,3.241875076E1,1.721250153E1,-3.746250153E1
7.818395695E0,3.196875191E1,1.813125038E1,-3.798750305E1
7.838396682E0,3.065625191E1,2.030625153E1,-3.772500229E1
7.858393010E0,3.009375191E1,2.139375114E1,-3.772500229E1
7.878397873E0,2.913750076E1,2.321250153E1,-3.665625000E1
7.898397547E0,2.962500191E1,2.360625076E1,-3.616875076E1
7.918391992E0,3.155625153E1,2.328750038E1,-3.513750076E1
7.938394280E0,3.114375114E1,2.272500038E1,-3.513750076E1
7.958393715E0,3.185625076E1,2.310000038E1,-3.594375229E1
7.978389059E0,3.183750153E1,2.283750153E1,-3.583125305E1
7.998393108E0,3.181875038E1,2.199375153E1,-3.583125305E1
8.018390840E0,3.354375076E1,2.306250000E1,-3.343125153E1
8.038397592E0,3.459375000E1,2.272500038E1,-3.271875000E1
8.058398793E0,3.420000076E1,2.169375038E1,-3.339375305E1
8.078395251E0,3.316875076E1,2.158125114E1,-3.500625229E1
8.098399417E0,2.996250153E1,1.927500153E1,-3.841875076E1
8.118397794E0,2.688750076E1,1.891875076E1,-4.072500229E1
8.138393392E0,2.191875076E1,1.961250114E1,-4.436250305E1
8.158397044E0,2.008125114E1,2.038125038E1,-4.447500229E1
