"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.327029010E-1,-3.852088451E0,2.799591541E0,4.641958237E0
9.352053620E-1,-4.130188465E0,2.873541594E0,4.656957626E0
9.377078230E-1,-4.415188313E0,2.926641703E0,4.689957619E0
9.402102840E-1,-4.592188358E0,2.983641624E0,4.788957596E0
9.427127450E-1,-4.762138844E0,3.060591698E0,4.884057999E0
9.452152060E-1,-4.915874004E0,3.177106380E0,5.527683735E0
9.477176680E-1,-5.166152954E0,3.186659813E0,5.585361481E0
9.502198870E-1,-5.351536751E0,3.181369543E0,5.593356133E0
9.527223460E-1,-5.476734161E0,3.233823776E0,5.532254219E0
9.552248030E-1,-5.659485817E0,3.302069902E0,5.505104065E0
9.577274950E-1,-5.870844841E0,3.418849945E0,5.490036011E0
9.602297230E-1,-6.038704872E0,3.535288334E0,5.542585373E0
9.627324130E-1,-6.137615681E0,3.529023409E0,5.660375118E0
9.652346460E-1,-5.990890980E0,3.374707460E0,5.828813076E0
9.677373360E-1,-5.889941692E0,3.264607430E0,5.605762959E0
9.702395690E-1,-5.743991375E0,3.202657461E0,5.486813068E0
9.727420290E-1,-5.722991467E0,3.297607422E0,5.668763161E0
9.752447210E-1,-5.724941730E0,3.439657450E0,5.982712746E0
9.777469540E-1,-5.492891788E0,3.551707268E0,6.365812778E0
9.802496440E-1,-5.331941128E0,3.690607309E0,6.875812531E0
9.827518770E-1,-5.298941135E0,3.870607376E0,6.906712532E0
9.852545330E-1,-5.145614624E0,3.982200623E0,7.166193962E0
9.877567660E-1,-5.020272732E0,4.055968285E0,7.441018581E0
9.902594560E-1,-4.918789864E0,4.087496281E0,7.538975239E0
9.927616840E-1,-5.001531601E0,4.130286694E0,7.306931019E0
9.952643740E-1,-5.039610863E0,4.127952576E0,7.168990612E0
9.977668380E-1,-4.902307034E0,4.077560902E0,7.241904736E0
1.000269036E0,-4.717586517E0,3.975234270E0,7.403936386E0
1.002771495E0,-4.467048645E0,3.872826815E0,7.302080631E0
