"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.211361270E-1,1.302795029E1,-5.776950359E0,5.685000420E0
7.236389710E-1,1.302300072E1,-5.662050247E0,5.556000233E0
7.261416760E-1,1.288005066E1,-5.524950027E0,5.248950481E0
7.286444430E-1,1.314495087E1,-5.599050045E0,4.870950222E0
7.311472120E-1,1.335900021E1,-5.652000427E0,4.638000011E0
7.336499990E-1,1.342995071E1,-5.656950474E0,4.461000443E0
7.361527690E-1,1.358100033E1,-5.683050156E0,4.200000286E0
7.386555380E-1,1.374705029E1,-5.736000061E0,3.883950233E0
7.411583070E-1,1.387605095E1,-5.760000229E0,3.630000114E0
7.436608480E-1,1.393095112E1,-5.785950184E0,3.430950165E0
7.461636150E-1,1.404600048E1,-5.784000397E0,3.283050060E0
7.486663840E-1,1.416300106E1,-5.785950184E0,3.094050169E0
7.511691530E-1,1.428795052E1,-5.767050266E0,2.896950245E0
7.536719220E-1,1.441995049E1,-5.764950275E0,2.707950115E0
7.561746920E-1,1.459395027E1,-5.722050190E0,2.571000099E0
7.586774610E-1,1.468995094E1,-5.707050323E0,2.491950035E0
7.611802300E-1,1.480800056E1,-5.779050350E0,2.452050209E0
7.636829990E-1,1.492995071E1,-5.785950184E0,2.440050125E0
7.661857690E-1,1.501800060E1,-5.808000088E0,2.502000093E0
7.686885540E-1,1.512105083E1,-5.812950134E0,2.547000170E0
7.711912470E-1,1.525095081E1,-5.812950134E0,2.598000050E0
7.736940090E-1,1.542795086E1,-5.844000340E0,2.730000019E0
7.761967790E-1,1.556895065E1,-5.848050117E0,2.851950169E0
7.786995480E-1,1.578000069E1,-5.880000114E0,3.145950079E0
7.812023170E-1,1.582605076E1,-5.896050453E0,3.450000048E0
7.837050860E-1,1.564305115E1,-5.857950211E0,3.655950069E0
7.862078560E-1,1.572300053E1,-5.913000107E0,3.850050211E0
7.887103960E-1,1.612200165E1,-6.001950264E0,4.015950203E0
7.912131630E-1,1.675695038E1,-6.289050102E0,4.249950409E0
7.937159330E-1,1.741305161E1,-6.562050343E0,4.345950127E0
7.962187020E-1,1.773900032E1,-6.486000538E0,4.432050228E0
7.987214380E-1,1.776795006E1,-6.250950336E0,4.522950172E0
8.012242070E-1,1.769400024E1,-5.929950237E0,4.495050430E0
8.037269760E-1,1.760505104E1,-5.587050438E0,4.447050095E0
8.062297550E-1,1.758105087E1,-5.422050476E0,4.312950134E0
8.087324490E-1,1.763100052E1,-5.401050091E0,4.047000408E0
8.112352790E-1,1.773405075E1,-5.398050308E0,3.706950188E0
8.137380500E-1,1.778205109E1,-5.467950344E0,3.292050123E0
8.162407430E-1,1.783500099E1,-5.539050102E0,2.844000101E0
8.187435100E-1,1.788000107E1,-5.535000324E0,2.241000175E0
8.212462790E-1,1.788795090E1,-5.548950195E0,1.707000136E0
8.237490480E-1,1.795695114E1,-5.479950428E0,1.134000063E0
8.262518180E-1,1.795499992E1,-5.347950459E0,5.640000105E-1
8.287545870E-1,1.792605019E1,-5.223000050E0,-9.000000544E-3
8.312573560E-1,1.791600037E1,-5.080050468E0,-5.119500160E-1
8.337599020E-1,1.794300079E1,-4.957050323E0,-9.720000625E-1
8.362626690E-1,1.799100113E1,-4.843050003E0,-1.405950069E0
8.387654380E-1,1.799805069E1,-4.753950119E0,-1.794000030E0
8.412681970E-1,1.808400154E1,-4.692000389E0,-2.110050201E0
8.437709670E-1,1.813199997E1,-4.615050316E0,-2.376000166E0
8.462737360E-1,1.815600014E1,-4.549950123E0,-2.533950090E0
8.487765050E-1,1.818195152E1,-4.431000233E0,-2.650950193E0
8.512792740E-1,1.818900108E1,-4.411050320E0,-2.958000183E0
8.537820390E-1,1.830000114E1,-4.308000088E0,-4.023000240E0
8.562847330E-1,1.832595062E1,-4.157999992E0,-4.323000431E0
8.587875770E-1,1.819200134E1,-4.110000134E0,-4.170000076E0
8.612903480E-1,1.810095024E1,-4.030950069E0,-3.796050072E0
8.637930410E-1,1.798095131E1,-3.894000292E0,-3.352950096E0
8.662958080E-1,1.776105118E1,-3.877050161E0,-2.878950119E0
8.687985770E-1,1.759305000E1,-3.906000137E0,-2.440050125E0
8.713013460E-1,1.733400154E1,-3.999000072E0,-1.897050142E0
8.738041160E-1,1.711605072E1,-4.087950230E0,-1.195050001E0
8.763068850E-1,1.702799988E1,-4.102050304E0,-3.949500322E-1
8.788096490E-1,1.697504997E1,-4.075950146E0,-7.050000131E-3
8.813124180E-1,1.684605026E1,-4.117050171E0,3.299999982E-2
8.838149590E-1,1.672800064E1,-4.087950230E0,1.500000060E-1
8.863177120E-1,1.659900093E1,-4.078950405E0,2.550000250E-1
8.888204810E-1,1.653404999E1,-4.009050369E0,2.509500086E-1
8.913232500E-1,1.654605103E1,-4.023000240E0,2.340000123E-1
8.938260150E-1,1.662300110E1,-3.999000072E0,9.300000221E-2
8.963287790E-1,1.665405083E1,-3.967950106E0,-8.805000782E-2
8.988315480E-1,1.664895058E1,-3.892050266E0,-1.819500029E-1
9.013343170E-1,1.657005119E1,-3.817050219E0,-2.779500186E-1
9.038370630E-1,1.640505028E1,-3.676050186E0,-3.570000231E-1
9.063398330E-1,1.625699997E1,-3.496950150E0,-3.829500079E-1
9.088426030E-1,1.606305122E1,-3.376950264E0,-4.879500270E-1
9.113452950E-1,1.595700073E1,-3.154050112E0,-6.060000062E-1
9.138480630E-1,1.592805099E1,-3.034050226E0,-7.470000386E-1
9.163508320E-1,1.593795109E1,-2.914950132E0,-9.510000348E-1
9.188536010E-1,1.598595047E1,-2.821050167E0,-1.161000013E0
9.213563700E-1,1.604295158E1,-2.725050211E0,-1.357950091E0
9.238591400E-1,1.609905052E1,-2.572050095E0,-1.566000104E0
9.263619090E-1,1.617794991E1,-2.488050222E0,-1.722000122E0
9.288646780E-1,1.628805161E1,-2.364000082E0,-1.945050120E0
9.313674470E-1,1.644105148E1,-2.287050009E0,-2.230050087E0
9.338699880E-1,1.656795120E1,-2.179050207E0,-2.613000154E0
9.363729860E-1,1.671195030E1,-2.078999996E0,-2.934000254E0
9.388757570E-1,1.684800148E1,-1.959000111E0,-3.300000191E0
9.413782950E-1,1.707600021E1,-1.867950082E0,-3.777000189E0
9.438810630E-1,1.721895027E1,-1.714950085E0,-4.204950333E0
9.463838370E-1,1.740900040E1,-1.602000117E0,-4.617000103E0
9.488866060E-1,1.758600044E1,-1.486950040E0,-4.993050098E0
9.513893750E-1,1.778700066E1,-1.360050082E0,-5.377050400E0
9.538921210E-1,1.783500099E1,-1.281000018E0,-5.602050304E0
9.563948950E-1,1.768200111E1,-1.324050069E0,-6.105000496E0
9.588976640E-1,1.692495155E1,-1.389000058E0,-7.783950329E0
9.614003580E-1,1.574595070E1,-1.462950110E0,-9.961050034E0
9.639031260E-1,1.446795082E1,-1.606950045E0,-1.242300034E1
9.664058950E-1,1.305000019E1,-1.825050116E0,-1.424505043E1
9.689086640E-1,1.168695068E1,-2.098050117E0,-1.542900085E1
9.714114330E-1,1.059195042E1,-2.530950069E0,-1.599600029E1
9.739142030E-1,9.826050758E0,-3.031950235E0,-1.606995010E1
9.764169720E-1,9.091050148E0,-3.492000103E0,-1.593900108E1
9.789197410E-1,5.623050213E0,-3.553950071E0,-1.445100021E1
9.814222910E-1,6.046950340E0,-3.834000111E0,-1.388595104E1
9.839252890E-1,7.479000568E0,-4.371000290E0,-1.333305073E1
9.864280600E-1,6.628950119E0,-4.444950104E0,-1.140495014E1
9.889308480E-1,6.451050282E0,-4.402050018E0,-9.834000587E0
9.914333860E-1,6.271950245E0,-4.287000179E0,-8.466000557E0
9.939361540E-1,6.388950348E0,-4.009050369E0,-7.222950459E0
9.964389230E-1,6.906000137E0,-3.913050175E0,-6.021000385E0
9.989416920E-1,7.576950550E0,-3.856050253E0,-5.020050049E0
1.001444461E0,7.993950367E0,-3.673950195E0,-3.964050293E0
1.003947236E0,8.398950577E0,-3.553950071E0,-3.115950108E0
1.006450005E0,8.947050095E0,-3.529950142E0,-2.530950069E0
1.008952774E0,9.109950066E0,-3.484950066E0,-2.110050201E0
1.011455468E0,9.043050766E0,-3.412950277E0,-1.789050102E0
1.013958236E0,8.794050217E0,-3.475050211E0,-1.815000057E0
1.016461005E0,8.197050095E0,-3.349950075E0,-1.818000078E0
1.018963774E0,8.233050346E0,-3.516000271E0,-1.798050046E0
1.021466543E0,8.470050812E0,-3.621000290E0,-1.698000073E0
1.023969313E0,8.353050232E0,-3.516000271E0,-1.321950078E0
1.026472072E0,7.849950314E0,-3.516000271E0,-5.719500184E-1
1.028974841E0,7.006950378E0,-3.724050283E0,2.509500086E-1
1.031477610E0,6.418050289E0,-3.931950092E0,5.640000105E-1
1.033980366E0,5.569950104E0,-4.057050228E0,8.280000687E-1
1.036483150E0,4.465950012E0,-4.210050106E0,5.550000072E-1
1.038985920E0,4.336950302E0,-4.282050133E0,-6.919500232E-1
1.041488459E0,5.551050186E0,-4.282050133E0,-2.260950089E0
1.043991226E0,8.334000587E0,-3.822000265E0,-2.974050045E0
1.046493995E0,1.072200012E1,-3.316950083E0,-2.313000202E0
1.048996764E0,1.173000050E1,-2.971950054E0,-1.867950082E0
1.051499533E0,1.301895046E1,-2.608050108E0,-1.722000122E0
1.054002303E0,1.389795113E1,-2.244000196E0,-7.639500499E-1
1.056505072E0,1.291800022E1,-2.260950089E0,-9.600000381E-1
