"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.912889188E0,5.418750286E0,1.344375038E1,-3.796875000E1
5.932887809E0,5.137500286E0,1.252500057E1,-3.976875305E1
5.952894125E0,1.162500024E0,1.012500000E1,-3.954375076E1
5.972894730E0,7.687500119E-1,8.456250191E0,-4.091250229E1
5.992891108E0,2.906250000E0,5.193750381E0,-4.027500153E1
6.012895743E0,4.518750191E0,3.487500191E0,-4.003125000E1
6.032894774E0,6.993750095E0,2.268750191E0,-3.840000153E1
6.052889738E0,7.143750191E0,1.350000024E0,-3.759375000E1
6.072893274E0,7.743750095E0,2.625000179E-1,-3.937500000E1
6.092892095E0,8.043750763E0,-6.562500000E-1,-4.057500076E1
6.112898085E0,7.162500381E0,-2.137500048E0,-3.834375000E1
6.132898493E0,8.062500000E0,-1.837500095E0,-3.894375229E1
6.152894867E0,9.956250191E0,-1.800000072E0,-4.044375229E1
6.172899017E0,9.825000763E0,-2.343750000E0,-3.984375000E1
6.192897063E0,1.072500038E1,-1.781250119E0,-3.984375000E1
6.212892370E0,9.712500572E0,-1.706250072E0,-3.864375305E1
6.232895573E0,9.900000572E0,-2.981250048E0,-3.922500229E1
6.252894934E0,9.731250763E0,-1.068750024E0,-3.885000229E1
6.272890029E0,1.010625076E1,1.143750072E0,-3.948750305E1
6.292894052E0,9.450000763E0,3.712500095E0,-3.761250305E1
6.312892316E0,8.643750191E0,6.918750286E0,-3.755625153E1
6.332887558E0,7.987500191E0,1.102500057E1,-3.763125229E1
6.352891061E0,7.912500381E0,1.370625019E1,-3.626250076E1
6.372888541E0,8.718750000E0,1.483125019E1,-3.556875229E1
6.392893831E0,9.525000572E0,1.586250019E1,-3.558750153E1
6.412893628E0,9.862500191E0,1.477500057E1,-3.476250076E1
6.432889995E0,9.075000763E0,1.576875019E1,-3.386250305E1
6.452894678E0,9.731250763E0,1.891875076E1,-3.320625305E1
6.472893420E0,8.643750191E0,1.972500038E1,-3.142500114E1
6.492888240E0,7.650000095E0,2.043750000E1,-3.022500038E1
6.512891466E0,4.275000095E0,2.191875076E1,-2.964375114E1
6.532889986E0,3.487500191E0,2.199375153E1,-2.955000114E1
6.552885415E0,2.906250000E0,2.188125038E1,-3.024375153E1
6.572889006E0,1.631250024E0,2.240625000E1,-2.956875038E1
6.592888301E0,6.750000119E-1,2.221875000E1,-3.005625153E1
6.612886377E0,1.687500030E-1,2.173125076E1,-2.934375191E1
6.632892846E0,6.750000119E-1,2.229375076E1,-2.996250153E1
6.652890872E0,3.750000000E-1,2.210625076E1,-3.026250076E1
6.672883972E0,4.875000119E-1,2.163750076E1,-3.136875153E1
6.692886494E0,2.062500119E-1,2.191875076E1,-3.146250153E1
6.712883596E0,-7.875000238E-1,2.060625076E1,-3.144375038E1
6.732888906E0,-1.256250024E0,2.188125038E1,-3.095625114E1
6.752890761E0,-1.575000048E0,2.188125038E1,-2.975625038E1
6.772887509E0,-1.406250000E0,2.049375153E1,-3.013125038E1
6.792892509E0,-1.256250024E0,1.976250076E1,-2.932500076E1
6.812891507E0,5.062500238E-1,2.146875000E1,-2.814375114E1
6.832887547E0,3.937500119E-1,2.101875114E1,-2.812500191E1
6.852891829E0,2.081250191E0,1.993125153E1,-3.063750076E1
6.872890719E0,3.731250048E0,1.895625114E1,-3.101250076E1
6.892885857E0,5.850000381E0,1.728750038E1,-2.756250191E1
6.912888433E0,7.931250095E0,1.603125000E1,-3.005625153E1
6.932887345E0,8.793750763E0,1.595625019E1,-2.975625038E1
6.952893810E0,8.625000000E0,1.558125019E1,-3.125625038E1
6.972894643E0,8.043750763E0,1.528125095E1,-3.144375038E1
6.992890895E0,6.543750286E0,1.471875095E1,-3.114375114E1
7.012894449E0,5.137500286E0,1.218750095E1,-3.170625114E1
7.032893732E0,4.556250095E0,1.051875019E1,-3.410625076E1
7.052889612E0,4.031250000E0,9.018750191E0,-3.427500153E1
7.072893627E0,6.375000477E0,5.118750095E0,-3.391875076E1
7.092892407E0,8.212500572E0,4.518750191E0,-3.410625076E1
7.112886232E0,1.031250000E1,3.468750238E0,-3.337500000E1
7.132889979E0,1.050000000E1,2.831250191E0,-3.367500305E1
7.152888768E0,1.050000000E1,3.018750191E0,-3.348750305E1
7.172883632E0,1.126875019E1,2.212500095E0,-3.346875000E1
7.192887313E0,1.029375076E1,-3.750000000E-1,-3.251250076E1
7.212885107E0,1.018125057E1,-1.875000000E-1,-3.191250038E1
7.232891649E0,1.100625038E1,2.625000179E-1,-3.313125229E1
7.252893000E0,1.213125038E1,2.062500119E-1,-3.172500038E1
7.272889664E0,1.256250095E1,3.937500119E-1,-3.322500229E1
7.292894115E0,1.190625000E1,1.875000000E-1,-3.423750305E1
7.312892577E0,1.245000076E1,1.125000045E-1,-3.262500000E1
7.332887984E0,1.350000095E1,2.718750000E0,-3.275625229E1
7.352892047E0,1.267500019E1,5.006250381E0,-3.260625076E1
7.372891100E0,1.171875000E1,6.825000286E0,-3.142500114E1
7.392886131E0,1.136250019E1,7.912500381E0,-3.183750153E1
7.412888535E0,9.581250191E0,1.230000019E1,-3.030000114E1
7.432887658E0,1.057500076E1,1.306875038E1,-2.960625076E1
7.452893899E0,1.346250057E1,1.533750057E1,-2.992500114E1
7.472894858E0,1.297500038E1,1.531875038E1,-2.983125114E1
7.492891150E0,1.198125076E1,1.475625038E1,-3.022500038E1
7.512894516E0,1.162500000E1,1.565625095E1,-3.033750153E1
7.532894204E0,1.110000038E1,1.822500038E1,-2.998125076E1
7.552889680E0,1.001250076E1,1.811250114E1,-2.968125153E1
7.572893383E0,8.775000572E0,1.871250153E1,-3.009375191E1
7.592892103E0,6.262500286E0,1.966875076E1,-2.971875191E1
7.612886064E0,6.075000286E0,2.004375076E1,-2.992500114E1
7.632889578E0,4.256250381E0,2.109375000E1,-3.003750038E1
7.652888503E0,3.487500191E0,2.180625153E1,-2.964375114E1
7.672883547E0,3.075000048E0,2.079375076E1,-3.022500038E1
7.692887199E0,2.475000143E0,2.060625076E1,-2.953125191E1
7.712885040E0,2.587500095E0,2.068125153E1,-3.033750153E1
7.732891483E0,2.400000095E0,2.030625153E1,-3.073125076E1
7.752892215E0,1.406250000E0,2.047500038E1,-2.992500114E1
7.772889011E0,1.312500089E-1,2.034375000E1,-2.962500191E1
7.792893536E0,-1.312500000E0,1.839375114E1,-2.788125038E1
7.812892160E0,-1.406250000E0,1.801875114E1,-2.868750191E1
7.832887804E0,-2.081250191E0,1.753125000E1,-2.938125038E1
7.852891663E0,-3.937500119E-1,1.655625153E1,-3.148125076E1
7.872890599E0,1.687500030E-1,1.721250153E1,-3.078750038E1
7.892885736E0,1.087500095E0,1.770000076E1,-3.159375191E1
7.912888241E0,1.256250024E0,1.706250000E1,-3.108750153E1
7.932887259E0,1.481250048E0,1.845000076E1,-3.110625076E1
